HGNC ID	Approved Symbol	Previous Symbols	Synonyms	Entrez Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)	UniProt ID(supplied by UniProt)	Ensembl ID(supplied by Ensembl)
HGNC:23876	OFD1P4Y	OFDYP4, OFD1P4, OFD1PY4		386688	NG_004636		ENSG00000229406
HGNC:23877	OFD1P5Y	OFDYP5, OFD1P5, OFD1PY5		386689	NG_027791		ENSG00000240438
HGNC:13657	OFD1P6Y	OFD1P2, OFDYP6, OFD1P6, OFD1PY6		386690	NG_004636		ENSG00000242153
HGNC:23879	OFD1P7Y	OFDYP7, OFD1P7, OFD1PY7		386691	NG_004636		ENSG00000238088
HGNC:23880	OFD1P8Y	OFDYP8, OFD1P8, OFD1PY8		386692	NG_004755		ENSG00000231159
HGNC:23881	OFD1P9Y	OFDYP9, OFD1P9, OFD1PY9		386693	NG_004755		ENSG00000230476
HGNC:23882	OFD1P10Y	OFDYP10, OFD1P10, OFD1PY10		386694	NG_004755		ENSG00000225466
HGNC:23883	OFD1P11Y	OFDYP11, OFD1P11, OFD1PY11		386695	NG_004755		ENSG00000237302
HGNC:23884	OFD1P12Y	OFDYP12, OFD1P12, OFD1PY12		386696	NG_004755		ENSG00000232585
HGNC:23885	OFD1P13Y	OFDYP13, OFD1P13, OFD1PY13		386697	NG_004755		ENSG00000225287
HGNC:23886	OFD1P14Y	OFDYP14, OFD1P14, OFD1PY14		386698	NG_004755		
HGNC:23887	OFD1P15Y	OFDYP15, OFD1P15, OFD1PY15		386699	NG_004755		ENSG00000234888
HGNC:18213	OFD1P16Y	OFDYP16, OFD1P16, OFD1PY16		442485	NG_004755		ENSG00000277519
HGNC:1332	OFD1P17	C5orf1, OFD1P1	71-7A3, 71-7A5	23738	NG_003023		ENSG00000228212
HGNC:2589	OFD1P18Y	CYorf1, OFD1P18, OFD1PY18	71-7A2	10751	NG_009011		ENSG00000235511
HGNC:7056	OGA	MGEA5	MEA5, NCOAT	10724	NM_001142434	O60502	ENSG00000198408
HGNC:8124	OGDH		E1k	4967	NM_001003941	Q02218	ENSG00000105953
HGNC:25590	OGDHL		FLJ10851	55753	NM_001143996	Q9ULD0	ENSG00000197444
HGNC:25585	OGFOD1		KIAA1612, FLJ10826, TPA1	55239	NM_001324357	Q8N543	ENSG00000087263
HGNC:39202	OGFOD1P1			387924	NG_011397		ENSG00000231665
HGNC:25823	OGFOD2		FLJ13491, FLJ37501	79676	NM_001304833	Q6N063	ENSG00000111325
HGNC:26174	OGFOD3	C17orf101	FLJ22222	79701	NM_024648	Q6PK18	ENSG00000181396
HGNC:15768	OGFR		7-60	11054	NM_007346	Q9NZT2	ENSG00000060491
HGNC:40724	OGFR-AS1			101409261	NR_102430		ENSG00000229873
HGNC:21378	OGFRL1		dJ331H24.1	79627	NM_001324266	Q5TC84	ENSG00000119900
HGNC:50511	OGFRP1			388906	NR_036498		ENSG00000182057
HGNC:8125	OGG1		HMMH, HOGG1, OGH1, MUTM	4968	NM_001354648	O15527	ENSG00000114026
HGNC:8126	OGN		mimecan, OIF, SLRR3A	4969	NM_014057	P20774	ENSG00000106809
HGNC:8127	OGT		O-GLCNAC, HRNT1, MGC22921, FLJ23071, OGT1	8473	NM_181672	O15294	ENSG00000147162
HGNC:20300	OIP5		MIS18B, hMIS18beta, CT86	11339	NM_001317860	O43482	ENSG00000104147
HGNC:43563	OIP5-AS1		cyrano, linc-OIP5	729082	NR_026757		ENSG00000247556
HGNC:29953	OIT3		LZP, FLJ39116	170392	NM_152635	Q8WWZ8	ENSG00000138315
HGNC:28833	OLA1	GTPBP9	PTD004	29789	NM_001011708	Q9NTK5	ENSG00000138430
HGNC:45274	OLA1P1			246785	NG_001589		ENSG00000213790
HGNC:45277	OLA1P2			106479059	NG_044570		ENSG00000213671
HGNC:45278	OLA1P3			101060020			ENSG00000257966
HGNC:25625	OLAH	THEDC1	FLJ11106, SAST	55301	NM_001039702	Q9NV23	ENSG00000152463
HGNC:17187	OLFM1		NOE1, OlfA, AMY, NOELIN	10439	NM_001282611	Q99784	ENSG00000130558
HGNC:17189	OLFM2		OlfC, NOE2	93145	NM_001304347	O95897	ENSG00000105088
HGNC:17990	OLFM3		NOE3	118427	NM_001288821	Q96PB7	ENSG00000118733
HGNC:17190	OLFM4		OlfD, GW112, GC1	10562	NM_006418	Q6UX06	ENSG00000102837
HGNC:51927	OLFM5P			101927763	NR_133006		ENSG00000224295
HGNC:24473	OLFML1		UNQ564	283298	NM_198474	Q6UWY5	ENSG00000183801
HGNC:27270	OLFML2A		FLJ00237	169611	NM_001282715	Q68BL7	ENSG00000185585
HGNC:24558	OLFML2B		DKFZP586L151	25903	NM_001297713	Q68BL8	ENSG00000162745
HGNC:24956	OLFML3		HNOEL-iso, OLF44	56944	NM_001286352	Q9NRN5	ENSG00000116774
HGNC:16983	OLIG1		BHLHB6, bHLHe21	116448	NM_138983	Q8TAK6	ENSG00000184221
HGNC:9398	OLIG2	PRKCBP2, BHLHB1	RACK17, OLIGO2, bHLHe19	10215	NM_005806	Q13516	ENSG00000205927
HGNC:18003	OLIG3		Bhlhb7, bHLHe20	167826	NM_175747	Q7RTU3	ENSG00000177468
HGNC:28060	OLMALINC	C10orf75, NCRNA00263, LINC00263	bA34D15.5, FLJ12974, HI-LNC80	90271	NR_026762		ENSG00000235823
HGNC:8133	OLR1		LOX-1, SCARE1, CLEC8A	4973	NM_001172632	P78380	ENSG00000173391
HGNC:29661	OMA1		MPRP-1, YKR087C, ZMPOMA1, FLJ33782	115209	NM_145243	Q96E52	ENSG00000162600
HGNC:8134	OMD		osteoadherin, SLRR2C	4958	NM_005014	Q99983	ENSG00000127083
HGNC:8135	OMG		OMGP	4974	NM_002544	P23515	ENSG00000126861
HGNC:8136	OMP			4975	NM_006189	P47874	ENSG00000254550
HGNC:8138	ONECUT1	HNF6, HNF6A	HNF-6	3175	NM_004498	Q9UBC0	ENSG00000169856
HGNC:8139	ONECUT2		OC-2	9480	NM_004852	O95948	ENSG00000119547
HGNC:13399	ONECUT3			390874	NM_001080488	O60422	ENSG00000205922
HGNC:21382	OOEP	C6orf156	Em:AC019205.2, KHDC2	441161	NM_001080507	A6NGQ2	ENSG00000203907
HGNC:39192	OOEP-AS1	OOEP-AS		106478938			ENSG00000231332
HGNC:49233	OOSP1			255649	NR_130719	A8MZH6	ENSG00000214788
HGNC:49240	OOSP1P1			106480251	NG_043888		ENSG00000238037
HGNC:49241	OOSP1P2			106480252	NG_043896		ENSG00000263749
HGNC:26699	OOSP2	TMEM122, PLAC1L	FLJ36198	219990	NM_173801	Q86WS3	ENSG00000149507
HGNC:8140	OPA1		NTG, KIAA0567, FLJ12460, NPG, MGM1	4976	NM_001354663	O60313	ENSG00000198836
HGNC:40421	OPA1-AS1			100873941	NR_046634		ENSG00000224855
HGNC:8141	OPA2			4977			
HGNC:8142	OPA3		FLJ22187, MGA3	80207	NM_001017989	Q9H6K4	ENSG00000125741
HGNC:32786	OPA4			58156			
HGNC:32787	OPA5			692222			
HGNC:33170	OPA6		ROA1	777778			
HGNC:39750	OPA8			106783499			
HGNC:20707	OPALIN	TMEM10	TMP10, HTMP10	93377	NM_001040102	Q96PE5	ENSG00000197430
HGNC:8143	OPCML		OPCM, OBCAM, IGLON1	4978	NM_001012393	Q14982	ENSG00000183715
HGNC:41366	OPCML-IT1			100874333			ENSG00000254896
HGNC:41365	OPCML-IT2			100874332			ENSG00000255371
HGNC:8146	OPEM			4981			
HGNC:8148	OPHN1	MRX60	OPN1, ARHGAP41	4983	NM_002547	O60890	ENSG00000079482
HGNC:8149	OPLAH		OPLA, 5-Opase	26873	NM_017570	O14841	ENSG00000178814
HGNC:9936	OPN1LW	CBBM, RCP, CBP	COD5	5956	NM_020061	P04000	ENSG00000102076
HGNC:4206	OPN1MW	GCP, CBBM, CBD	OPN1MW1, COD5	2652	NM_000513	P04001	ENSG00000268221
HGNC:26952	OPN1MW2			728458	NM_001048181	P0DN77	ENSG00000166160
HGNC:51831	OPN1MW3			101060233	NM_001330067	P0DN78	ENSG00000269433
HGNC:1012	OPN1SW	BCP	BOP, CBT	611	NM_001708	P03999	ENSG00000128617
HGNC:14007	OPN3	ECPN	ERO, NMO-1, encephalopsin, PPP1R116	23596	NM_014322	Q9H1Y3	ENSG00000054277
HGNC:14449	OPN4		MOP, melanopsin	94233	NM_001030015	Q9UHM6	ENSG00000122375
HGNC:19992	OPN5	TMEM13	neuropsin, dJ402H5.1	221391	NM_181744	Q6U736	ENSG00000124818
HGNC:8153	OPRD1			4985	NM_000911	P41143	ENSG00000116329
HGNC:8154	OPRK1		KOR, OPRK	4986	NM_000912	P41145	ENSG00000082556
HGNC:8155	OPRL1		NOCIR, ORL1, OOR, KOR-3, NOPr	4987	NM_000913	P41146	ENSG00000125510
HGNC:8156	OPRM1		MOR1	4988	NM_000914	P35372	ENSG00000112038
HGNC:17279	OPRPN	PROL1	BPLP, PRL1	58503	NM_001302807	Q99935	ENSG00000171199
HGNC:8158	OPTC			26254	NM_014359	Q9UBM4	ENSG00000188770
HGNC:17142	OPTN	GLC1E	FIP2, HYPL, FIP-2, TFIIIA-INTP, NRP, HIP7	10133	NM_001008211	Q96CV9	ENSG00000123240
HGNC:8179	OR1A1		OR17-7	8383	NM_014565	Q9P1Q5	ENSG00000172146
HGNC:8180	OR1A2		OR17-6	26189	NM_012352	Q9Y585	ENSG00000172150
HGNC:14750	OR1AA1P			79312	NG_002238		ENSG00000234288
HGNC:15390	OR1AB1P			81090	NG_004627		ENSG00000267450
HGNC:31243	OR1AC1P			403231	NG_005819		ENSG00000267129
HGNC:8181	OR1B1		OR9-B	347169	NM_001004450	Q8NGR6	ENSG00000280094
HGNC:8182	OR1C1		TPCR27, HSTPCR27	26188	NM_012353	Q15619	ENSG00000221888
HGNC:8183	OR1D2	OLFR1	OR17-4	4991	NM_002548	P34982	ENSG00000184166
HGNC:8184	OR1D3P	OR1D6P, OR1D7P	OR17-23, OR11-13, OR11-22	8384	NG_002298		ENSG00000262106
HGNC:8185	OR1D4		OR17-30	653166	NM_003552	P47884	ENSG00000255095
HGNC:8186	OR1D5		OR17-31	8386	NM_014566	P58170	ENSG00000262628
HGNC:8189	OR1E1	OR1E9P, OR1E5, OR1E6	OR17-2, HGM071, OR17-32, OR13-66	8387	NM_003553	P30953	ENSG00000180016
HGNC:8190	OR1E2	OR1E4	OR17-93, OR17-135	8388	NM_003554	P47887	ENSG00000127780
HGNC:8191	OR1E3	OR1E3P	OR17-210	8389	NM_001348201	Q8WZA6	ENSG00000142163
HGNC:8194	OR1F1	OR1F4, OR1F6, OR1F7, OR1F8, OR1F9, OR1F5, OR1F10, OR1F13P	Olfmf, OR16-36, OR16-37, OR16-88, OR16-89, OR16-90, OLFMF, OR3-145	4992	NM_012360	O43749	ENSG00000168124
HGNC:8196	OR1F2P	OR1F3P, OR1F2	OLFMF2	26184	NR_002169	Q96R84	ENSG00000203581
HGNC:13964	OR1F12	OR1F12P	hs6M1-35P, OR1F12Q	442179	NM_001355425	Q8NHA8	ENSG00000220721
HGNC:8204	OR1G1	OR1G2	OR17-209	8390	NM_003555	P47890	ENSG00000183024
HGNC:8206	OR1H1P	OR1H1	OST26	26742	NG_004138		ENSG00000228914
HGNC:8207	OR1I1		OR1I1P, OR19-20, OR1I1Q	126370	NM_001004713	O60431	ENSG00000094661
HGNC:8208	OR1J1		hg32	347168	NM_001004451	Q8NGS3	ENSG00000136834
HGNC:8209	OR1J2	OR1J3, OR1J5	OST044	26740	NM_054107	Q8NGS2	ENSG00000197233
HGNC:8211	OR1J4		HTPCRX01, HSHTPCRX01	26219	NM_001004452	Q8NGS1	ENSG00000239590
HGNC:8212	OR1K1		hg99, MNAB	392392	NM_080859	Q8NGR3	ENSG00000165204
HGNC:8213	OR1L1	OR1L2	OR9-C	26737	NM_001005236	Q8NH94	ENSG00000173679
HGNC:8215	OR1L3		OR9-D	26735	NM_001005234	Q8NH93	ENSG00000171481
HGNC:8216	OR1L4	OR1L5	OR9-E	254973	NM_001005235	Q8NGR5	ENSG00000136939
HGNC:8218	OR1L6	OR1L7		392390	NM_001004453	Q8NGR2	ENSG00000171459
HGNC:15110	OR1L8			138881	NM_001004454	Q8NGR8	ENSG00000171496
HGNC:8220	OR1M1		OR19-6	125963	NM_001004456	Q8NGA1	ENSG00000170929
HGNC:31244	OR1M4P			403232	NG_004407		ENSG00000267154
HGNC:8221	OR1N1	OR1N3	OR1-26	138883	NM_012363	Q8NGS0	ENSG00000171505
HGNC:15111	OR1N2			138882	NM_001004457	Q8NGR9	ENSG00000171501
HGNC:8222	OR1P1	OR1P1P	OR17-208	8391	NG_002153	Q8NH06	ENSG00000262085
HGNC:8223	OR1Q1	OR1Q2, OR1Q3	OST226, OR9-A, HSTPCR106, OST226OR9-A, TPCR106	158131	NM_012364	Q15612	ENSG00000165202
HGNC:8226	OR1R1P	OR20A1P, OR1R2P, OR1R3P	OR17-1	9596	NG_002302		
HGNC:8227	OR1S1		OST034	219959	NM_001004458	Q8NH92	ENSG00000280204
HGNC:15141	OR1S2			219958	NM_001004459	Q8NGQ3	ENSG00000197887
HGNC:15062	OR1X1P			402236	NG_004630		ENSG00000272494
HGNC:31245	OR1X5P			402240	NG_004631		ENSG00000214351
HGNC:8229	OR2A1			346528	NM_001005287	Q8NGT9	ENSG00000221970
HGNC:49168	OR2A1-AS1			101928492	NR_126023		ENSG00000244479
HGNC:8230	OR2A2	OR2A2P, OR2A17P	OST008	442361	NM_001005480	Q6IF42	ENSG00000221989
HGNC:8231	OR2A3P			202861	NG_004292		ENSG00000183122
HGNC:14729	OR2A4	OR2A10		79541	NM_030908	O95047	ENSG00000180658
HGNC:8232	OR2A5	OR2A8, OR2A26	OR7-138, OR7-141	393046	NM_012365	Q96R48	ENSG00000221836
HGNC:8234	OR2A7		HSDJ0798C17	401427	NM_001005328	Q96R45	ENSG00000243896
HGNC:8236	OR2A9P	OR2A9	HSDJ0798C17	441295	NR_002157		ENSG00000228960
HGNC:15082	OR2A12	OR2A12P		346525	NM_001004135	Q8NGT7	ENSG00000221858
HGNC:15083	OR2A13P			392140	NG_004375		ENSG00000273234
HGNC:15084	OR2A14	OR2A14P, OR2A6	OST182	135941	NM_001001659	Q96R47	ENSG00000221938
HGNC:15085	OR2A15P	OR2A28P		135942	NG_004290		ENSG00000239981
HGNC:15413	OR2A20P	OR2A20		401428	NR_002158		ENSG00000170356
HGNC:19562	OR2A25	OR2A25P, OR2A27		392138	NM_001004488	A4D2G3	ENSG00000221933
HGNC:31246	OR2A41P			403234	NG_004408		ENSG00000239967
HGNC:31230	OR2A42			402317	NM_001001802	Q8NGT9	ENSG00000212807
HGNC:14749	OR2AD1P		OR2AD1, hs6M1-8P	79313	NG_002239		ENSG00000223677
HGNC:15087	OR2AE1	OR2AE2		81392	NM_001005276	Q8NHA4	ENSG00000244623
HGNC:14719	OR2AF1P	OR2AF2P		79331	NG_002257		ENSG00000235730
HGNC:15142	OR2AG1	OR2AG3		144125	NM_001004489	Q9H205	ENSG00000279486
HGNC:15143	OR2AG2	OR2AG2P		338755	NM_001004490	A6NM03	ENSG00000188124
HGNC:15144	OR2AH1P			81336	NG_004244		ENSG00000232511
HGNC:15063	OR2AI1P			134082	NG_004289		ENSG00000236791
HGNC:15001	OR2AJ1	OR2AJ1P	OR2AJ1Q	127608	NM_001355235	Q8NGZ0	ENSG00000177275
HGNC:19569	OR2AK2	OR2AK1P		391191	NM_001004491	Q8NG84	ENSG00000187080
HGNC:14712	OR2AL1P			79547	NG_002273		ENSG00000254767
HGNC:15113	OR2AM1P			81366	NG_004255		ENSG00000236110
HGNC:31247	OR2AO1P			403235	NG_004409		ENSG00000240621
HGNC:15335	OR2AP1	OR2AP1P		121129	NM_001258285	Q8NGE2	ENSG00000179615
HGNC:15003	OR2AQ1P			81474	NG_004276		ENSG00000229724
HGNC:15004	OR2AS1P			81473	NG_004705		ENSG00000227102
HGNC:31248	OR2AS2P			403236	NG_004706		ENSG00000271934
HGNC:15145	OR2AT1P			390225	NG_004338		ENSG00000254475
HGNC:19619	OR2AT2P			390224	NG_004337		ENSG00000234611
HGNC:19620	OR2AT4			341152	NM_001005285	A6NND4	ENSG00000171561
HGNC:13966	OR2B2	OR2B9	hs6M1-10, OR6-1, OR2B2Q	81697	NM_033057	Q9GZK3	ENSG00000168131
HGNC:8238	OR2B3	OR2B3P	OR6-4	442184	NM_001005226	O76000	ENSG00000204703
HGNC:8239	OR2B4P		hs6M1-22	442190	NG_004686		ENSG00000197171
HGNC:8241	OR2B6	OR2B6P, OR2B1, OR2B1P, OR2B5	OR6-31, dJ408B20.2, OR5-40, OR5-41	26212	NM_012367	P58173	ENSG00000124657
HGNC:13967	OR2B7P		hs6M1-31P	81695	NG_004280		ENSG00000187763
HGNC:13968	OR2B8P	OR2B8	hs6M1-29P	65944	NG_003194	P59922	ENSG00000182477
HGNC:31249	OR2B11			127623	NM_001004492	Q5JQS5	ENSG00000177535
HGNC:31250	OR2BH1P			403238	NG_004410		ENSG00000272882
HGNC:8242	OR2C1	OR2C2P	OLFmf3	4993	NM_012368	O95371	ENSG00000168158
HGNC:15005	OR2C3	OR2C4, OR2C5P	OST742	81472	NM_198074	Q8N628	ENSG00000196242
HGNC:8244	OR2D2	OR2D1	OR11-610, hg27	120776	NM_003700	Q9H210	ENSG00000166368
HGNC:15146	OR2D3			120775	NM_001004684	Q8NGH3	ENSG00000178358
HGNC:15507	OR2E1P	OR2E1, OR2E2	hs6M1-9, hs6M1-9p, HS29K1, HSNH0569I24	26719	NG_004088		ENSG00000219262
HGNC:8246	OR2F1	OR2F4, OR2F5, OR2F3, OR2F3P	OLF3, OR7-140, OR7-139, OR14-60	26211	NM_012369	Q13607	ENSG00000213215
HGNC:8247	OR2F2		OR7-1	135948	NM_001004685	O95006	ENSG00000221910
HGNC:8251	OR2G1P		OST619, hs6M1-25	26717	NG_004689		ENSG00000213911
HGNC:15007	OR2G2			81470	NM_001001915	Q8NGZ5	ENSG00000177489
HGNC:15008	OR2G3			81469	NM_001001914	Q8NGZ4	ENSG00000177476
HGNC:27019	OR2G6			391211	NM_001013355	Q5TZ20	ENSG00000188558
HGNC:8252	OR2H1	OR2H6, OR2H8	OR6-2	26716	NM_001318014	Q9GZK4	ENSG00000204688
HGNC:8253	OR2H2		hs6M1-12	7932	NM_007160	O95918	ENSG00000204657
HGNC:8255	OR2H4P		OR6-3, OR2H4, hs6M1-7, dJ80I19.6	442189	NG_004685		ENSG00000230598
HGNC:8256	OR2H5P		OR2H5, hs6M1-13, HS271M21	26713	NG_002319		ENSG00000232173
HGNC:8258	OR2I1P	OR2I1, OR2I3P, OR2I4P, OR2I2	HS6M1-14	442197	NG_004688	Q8NGU4	ENSG00000237988
HGNC:8259	OR2J1	OR2J1P	OR6-5, hs6M1-4, dJ80I19.2	442185	NM_001348294	Q9GZK6	ENSG00000204702
HGNC:8260	OR2J2		OR6-8, hs6M1-6, dJ80I19.4	26707	NM_030905	O76002	ENSG00000204700
HGNC:8261	OR2J3		OR6-6	442186	NM_001005216	O76001	ENSG00000204701
HGNC:8262	OR2J4P		OR6-9, hs6M1-5, dJ80I19.5	442188	NG_004684		ENSG00000224233
HGNC:8264	OR2K2	OR2AR1P	HTPCRH06, HSHTPCRH06	26248	NM_205859	Q8NGT1	ENSG00000171133
HGNC:8265	OR2L1P	OR2L1, OR2L7P	HTPCRX02, HSHTPCRX02	26247	NR_002145		ENSG00000224227
HGNC:8266	OR2L2	OR2L4P, OR2L12	HTPCRH07, HSHTPCRH07	26246	NM_001004686	Q8NH16	ENSG00000203663
HGNC:15009	OR2L3			391192	NM_001004687	Q8NG85	ENSG00000198128
HGNC:15011	OR2L5	OR2L11, OR2L5P		81466	NM_001258284	Q8NG80	ENSG00000197454
HGNC:15012	OR2L6P			81465	NG_004274		ENSG00000232215
HGNC:15014	OR2L8			391190	NM_001001963	Q8NGY9	ENSG00000279263
HGNC:15015	OR2L9P			81462	NG_004273		ENSG00000237492
HGNC:19578	OR2L13	OR2L14		284521	NM_001304535	Q8N349	ENSG00000196071
HGNC:8267	OR2M1P	OR2M1	OST037	388762	NR_002141		ENSG00000177233
HGNC:8268	OR2M2		OST423, OR2M2Q	391194	NM_001004688	Q96R28	ENSG00000198601
HGNC:8269	OR2M3	OR2M6, OR2M3P	OST003	127062	NM_001004689	Q8NG83	ENSG00000228198
HGNC:8270	OR2M4		HTPCRX18, TPCR100, HSHTPCRX18, OST710	26245	NM_017504	Q96R27	ENSG00000171180
HGNC:19576	OR2M5	OR2M5P		127059	NM_001004690	A3KFT3	ENSG00000162727
HGNC:19594	OR2M7			391196	NM_001004691	Q8NG81	ENSG00000177186
HGNC:8271	OR2N1P		OR6-7	26701	NG_002216		ENSG00000203492
HGNC:8272	OR2P1P		hs6M1-26	442183	NG_004693		ENSG00000236909
HGNC:8273	OR2Q1P		OR7-2	346524	NG_004310		ENSG00000273377
HGNC:8274	OR2R1P	OR2R1	OST058	392132	NG_004373		ENSG00000236853
HGNC:8275	OR2S1P		OST611	392313	NG_004379		ENSG00000228307
HGNC:8276	OR2S2			56656	NM_019897	Q9NQN1	ENSG00000278889
HGNC:8277	OR2T1		OR1-25	26696	NM_030904	O43869	ENSG00000175143
HGNC:14725	OR2T2	OR2T2P		401992	NM_001004136	Q6IF00	ENSG00000196240
HGNC:14727	OR2T3			343173	NM_001005495	Q8NH03	ENSG00000196539
HGNC:15016	OR2T4		OR2T4Q	127074	NM_001004696	Q8NH00	ENSG00000196944
HGNC:15017	OR2T5			401993	NM_001004697	Q6IEZ7	ENSG00000203661
HGNC:15018	OR2T6	OR2T6P, OR2T9	OST703	254879	NM_001005471	Q8NHC8	ENSG00000198104
HGNC:15019	OR2T7	OR2T7P	OST723	81458	NM_001355223	P0C7T2	ENSG00000227152
HGNC:15020	OR2T8	OR2T8P		343172	NM_001005522	A6NH00	ENSG00000177462
HGNC:19573	OR2T10			127069	NM_001004693	Q8NGZ9	ENSG00000184022
HGNC:19574	OR2T11		OR2T11Q	127077	NM_001001964	Q8NH01	ENSG00000279301
HGNC:19592	OR2T12			127064	NM_001004692	Q8NG77	ENSG00000177201
HGNC:31252	OR2T27			403239	NM_001001824	Q8NH04	ENSG00000187701
HGNC:31253	OR2T29			343563	NM_001004694	Q8NH02	ENSG00000182783
HGNC:31254	OR2T32P			403241	NG_004411		ENSG00000197067
HGNC:31255	OR2T33			391195	NM_001004695	Q8NG76	ENSG00000177212
HGNC:31256	OR2T34			127068	NM_001001821	Q8NGX1	ENSG00000183310
HGNC:31257	OR2T35			403244	NM_001001827	Q8NGX2	ENSG00000177151
HGNC:8278	OR2U1P	OR2AU1P	hs6M1-24	26695	NG_004625		ENSG00000204697
HGNC:8279	OR2U2P		hs6M1-23	26694	NG_004687		ENSG00000242524
HGNC:8280	OR2V1	OR2V1P	OST265	26693	NM_001258283	Q8NHB1	ENSG00000185372
HGNC:15341	OR2V2	OR2V3	OST713	285659	NM_206880	Q96R30	ENSG00000182613
HGNC:8281	OR2W1		hs6M1-15	26692	NM_030903	Q9Y3N9	ENSG00000204704
HGNC:13970	OR2W2P		hs6M1-30P	81694	NG_004279		ENSG00000217315
HGNC:15021	OR2W3	OR2W8P, OR2W3P	OST718	343171	NM_001001957	Q7Z3T1	ENSG00000238243
HGNC:15071	OR2W4P			81407	NG_004261		ENSG00000216629
HGNC:15424	OR2W5	OR2W5P	OST722	441932	NM_001004698	A6NFC9	ENSG00000203664
HGNC:15072	OR2W6P	OR2W7P		81406	NG_004260	Q8NHA6	ENSG00000168126
HGNC:31258	OR2X1P			403245	NG_004412		ENSG00000224830
HGNC:14837	OR2Y1			134083	NM_001001657	Q8NGV0	ENSG00000174339
HGNC:15391	OR2Z1	OR2Z2		284383	NM_001004699	Q8NG97	ENSG00000181733
HGNC:8282	OR3A1		OLFRA03, OR40, OR17-40	4994	NM_002550	P47881	ENSG00000180090
HGNC:8283	OR3A2		OLFRA04, OR228, OR17-228	4995	NM_002551	P47893	ENSG00000221882
HGNC:8284	OR3A3	OR3A6, OR3A7, OR3A8P	OR17-201, OR17-137, OR17-16	8392	NM_012373	P47888	ENSG00000159961
HGNC:15510	OR3A4P	OR3A4		390756	NR_024128	P47883	ENSG00000180068
HGNC:8286	OR3A5P		OLFRA06, OR25, OR17-25, RP11-64J4.6-001	100856809	NG_031881		
HGNC:14839	OR3B1P			392561	NG_004382		ENSG00000237619
HGNC:25339	OR3D1P			504175	NG_004862		ENSG00000230411
HGNC:8289	OR4A1P	OR4A20P	OR11-30	8596	NG_002173		ENSG00000254408
HGNC:15159	OR4A2P			390133	NG_004330		ENSG00000227547
HGNC:15160	OR4A3P			81320	NG_004237		ENSG00000254464
HGNC:15161	OR4A4P	OR4A4		390134	NG_004331	Q8NGN8	ENSG00000254769
HGNC:15162	OR4A5			81318	NM_001005272	Q8NH83	ENSG00000221840
HGNC:15163	OR4A6P			390131	NG_004329		ENSG00000255078
HGNC:15164	OR4A7P			81316	NG_004236		ENSG00000255349
HGNC:15165	OR4A8	OR4A8P		81315	NG_004235	P0C604	ENSG00000225997
HGNC:15166	OR4A9P			390137	NG_004333		ENSG00000254891
HGNC:15147	OR4A10P	OR4A25P		390138	NG_004334		
HGNC:15148	OR4A11P			390136	NG_004332		ENSG00000254663
HGNC:15149	OR4A12P			81331	NG_004243		ENSG00000254723
HGNC:15150	OR4A13P			81330	NG_004242		ENSG00000181950
HGNC:15151	OR4A14P			81329	NG_004241		
HGNC:15152	OR4A15			81328	NM_001005275	Q8NGL6	ENSG00000181958
HGNC:15153	OR4A16		OR4A16Q	81327	NM_001005274	Q8NH70	ENSG00000181961
HGNC:15154	OR4A17P	OR4A22P		390139	NG_004335		ENSG00000255196
HGNC:15155	OR4A18P			81325	NG_004240		ENSG00000254637
HGNC:15156	OR4A19P			81324	NG_004239		ENSG00000254940
HGNC:15158	OR4A21P			81322	NG_004238		ENSG00000181943
HGNC:31259	OR4A40P			390116	NG_004327		ENSG00000254832
HGNC:31260	OR4A41P			403247	NG_004413		ENSG00000255297
HGNC:31261	OR4A42P			403248	NG_004414		ENSG00000254674
HGNC:31262	OR4A43P			390117	NG_004328		ENSG00000255534
HGNC:31263	OR4A44P			403250	NG_004415		ENSG00000255053
HGNC:31264	OR4A45P			403251	NG_004416		ENSG00000213607
HGNC:31265	OR4A46P			403252	NG_004417		ENSG00000255304
HGNC:31266	OR4A47			403253	NM_001005512	Q6IF82	ENSG00000237388
HGNC:31267	OR4A48P			403254	NG_004418		ENSG00000255113
HGNC:31268	OR4A49P			403255	NG_004419		ENSG00000254472
HGNC:31269	OR4A50P			403256	NG_004420		ENSG00000255294
HGNC:8290	OR4B1		OST208	119765	NM_001005470	Q8NGF8	ENSG00000175619
HGNC:8291	OR4B2P		hg449	26690	NG_004136		ENSG00000255514
HGNC:8292	OR4C1P	OR4C1	HTPCRX11, HSHTPCRX11	26242	NG_002184		ENSG00000254576
HGNC:14696	OR4C2P	OR4C8P		119750	NG_002250		ENSG00000182565
HGNC:14697	OR4C3			256144	NM_001004702	Q8NH37	ENSG00000176547
HGNC:14700	OR4C4P	OR4C17P, OR4C17	OR4C47P	79550	NG_002275		ENSG00000197161
HGNC:14702	OR4C5	OR4C5P	OR4C5Q	79346	NM_001348223	Q8NGB2	ENSG00000176540
HGNC:14743	OR4C6			219432	NM_001004704	Q8NH72	ENSG00000181903
HGNC:14768	OR4C7P			79294	NG_002229		ENSG00000255312
HGNC:14796	OR4C9P			79530	NG_002267		ENSG00000254925
HGNC:14800	OR4C10P			79526	NG_002264		ENSG00000184789
HGNC:15167	OR4C11	OR4C11P		219429	NM_001004700	Q6IEV9	ENSG00000172188
